Year,Series,Population,Min,Max
1950,Observation,2536431018.00,2536431018.00,2536431018.00
1951,Observation,2584034227.00,2584034227.00,2584034227.00
1952,Observation,2630861690.00,2630861690.00,2630861690.00
1953,Observation,2677609061.00,2677609061.00,2677609061.00
1954,Observation,2724846754.00,2724846754.00,2724846754.00
1955,Observation,2773019915.00,2773019915.00,2773019915.00
1956,Observation,2822443254.00,2822443254.00,2822443254.00
1957,Observation,2873306058.00,2873306058.00,2873306058.00
1958,Observation,2925686680.00,2925686680.00,2925686680.00
1959,Observation,2979576147.00,2979576147.00,2979576147.00
1960,Observation,3034949715.00,3034949715.00,3034949715.00
1961,Observation,3091843513.00,3091843513.00,3091843513.00
1962,Observation,3150420761.00,3150420761.00,3150420761.00
1963,Observation,3211000946.00,3211000946.00,3211000946.00
1964,Observation,3273978272.00,3273978272.00,3273978272.00
1965,Observation,3339583510.00,3339583510.00,3339583510.00
1966,Observation,3407922631.00,3407922631.00,3407922631.00
1967,Observation,3478770104.00,3478770104.00,3478770104.00
1968,Observation,3551599436.00,3551599436.00,3551599436.00
1969,Observation,3625680965.00,3625680965.00,3625680965.00
1970,Observation,3700437042.00,3700437042.00,3700437042.00
1971,Observation,3775760030.00,3775760030.00,3775760030.00
1972,Observation,3851650588.00,3851650588.00,3851650588.00
1973,Observation,3927780519.00,3927780519.00,3927780519.00
1974,Observation,4003794178.00,4003794178.00,4003794178.00
1975,Observation,4079480474.00,4079480474.00,4079480474.00
1976,Observation,4154666827.00,4154666827.00,4154666827.00
1977,Observation,4229505919.00,4229505919.00,4229505919.00
1978,Observation,4304533599.00,4304533599.00,4304533599.00
1979,Observation,4380506185.00,4380506185.00,4380506185.00
1980,Observation,4458003466.00,4458003466.00,4458003466.00
1981,Observation,4536996619.00,4536996619.00,4536996619.00
1982,Observation,4617386526.00,4617386526.00,4617386526.00
1983,Observation,4699569187.00,4699569187.00,4699569187.00
1984,Observation,4784011517.00,4784011517.00,4784011517.00
1985,Observation,4870921666.00,4870921666.00,4870921666.00
1986,Observation,4960568000.00,4960568000.00,4960568000.00
1987,Observation,5052521998.00,5052521998.00,5052521998.00
1988,Observation,5145425994.00,5145425994.00,5145425994.00
1989,Observation,5237441434.00,5237441434.00,5237441434.00
1990,Observation,5327231041.00,5327231041.00,5327231041.00
1991,Observation,5414289383.00,5414289383.00,5414289383.00
1992,Observation,5498919893.00,5498919893.00,5498919893.00
1993,Observation,5581597598.00,5581597598.00,5581597598.00
